,timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual,BanburySubLotBarcode,BanburyMaterialCode
22,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239122049,Cap,,,,,,,,,,,,,,,,,,,12,16,15.71,12,4,2.51,1,4,0.63,1,3,0.7,1,3,0.95,1.4,1.8,1.51,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.153,,,,,,,,,,4L42202239122049,35046FB
23,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239122049,Cap,,,,,,,,,,,,,,,,,,,12,16,15.71,12,4,2.51,1,4,0.63,1,3,0.7,1,3,0.95,1.4,1.8,1.51,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.153,,,,,,,,,,4L42202239122049,35046FB
24,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
25,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
26,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
27,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
28,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
29,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
30,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
31,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
32,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
33,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
34,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
35,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121221,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.4,1,4,0.65,1,3,0.72,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.16,1.144,1.164,1.152,,,,,,,,,,4L42202239121221,35046FB
36,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
37,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
38,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
39,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
40,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
41,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
42,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
43,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
44,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
45,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
46,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
47,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
48,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
49,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
50,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239121919,Cap,,,,,,,,,,,,,,,,,,,12,16,15.15,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.97,1.4,1.8,1.56,1,3,68.6,,,,48,58,53.3,46.5,52.5,49.34,1.144,1.164,1.151,13.5,18.5,17.35,10.5,14.5,13.48,,,,4L42202239121919,35046FB
51,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
52,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
53,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
54,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
55,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
56,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
57,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
58,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
59,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
60,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
61,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
62,Not Applicable,11-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
63,Not Applicable,12-03-2022,2156016WSTA1TL-MCB,4L42202239123057,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.54,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.28,1.144,1.164,1.152,,,,,,,,,,4L42202239123057,35046FB
