timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Control 2,22-04-2022,2156016WSTTL-VL,4L42202242011582,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,7.05,4.8,3,1.52,1,3,0.49,1,3,0.94,1,3,1.16,1.9,2.7,2.19,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L422022420211614,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.22,7.5,3,1.58,1,3,0.38,1,3,0.58,1,3,0.87,1.36,1.72,1.41,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L422022420115347,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.76,4.8,3,1.58,1,3,0.49,1,3,1.01,1,3,1.2,1.9,2.7,2.28,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L422022420115541,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.77,4.8,3,1.41,1,3,0.49,1,3,0.96,1,3,1.17,1.9,2.7,2.23,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L4220224192254,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.33,4.8,3,1.68,1,3,0.5,1,3,1.06,1,3,1.18,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022420114549,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.81,4.8,3,1.61,1,3,0.48,1,3,0.98,1,3,1.17,1.9,2.7,2.24,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022421155637,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.22,7.5,3,2.09,1,3,0.39,1,3,0.62,1,3,0.94,1.36,1.72,1.53,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022421162933,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.48,7.5,3,1.88,1,3,0.41,1,3,0.59,1,3,0.87,1.36,1.72,1.4,,,,,,,,,,,,,,,1.09,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L422022421162933,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.48,7.5,3,1.88,1,3,0.41,1,3,0.59,1,3,0.87,1.36,1.72,1.4,,,,,,,,,,,,,,,1.09,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022421234459,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,7.03,4.8,3,1.62,1,3,0.48,1,3,0.96,1,3,1.18,1.9,2.7,2.24,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022421234255,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.73,4.8,3,1.4,1,3,0.49,1,3,0.88,1,3,1.17,1.9,2.7,2.32,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L422022421234255,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.73,4.8,3,1.4,1,3,0.49,1,3,0.88,1,3,1.17,1.9,2.7,2.32,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L42202242012537,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.77,4.8,3,1.55,1,3,0.5,1,3,1,1,3,1.2,1.9,2.7,2.3,,,,,,,,,,,,,,,1.2,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L42202242322240,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.76,7.5,3,1.91,1,3,0.41,1,3,0.64,1,3,0.96,1.36,1.72,1.58,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,24-04-2022,2156016WSTTL-VL,4L422022422232726,IL,,,,,,,,,,4,0,9.97,,,,1,3,62,4.8,7.2,7.05,4.8,3,1.59,1,3,0.48,1,3,0.91,1,3,1.11,1.9,2.7,2.12,,,,,,,,,,,,,,,,,,,,,,,,
