timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232372640,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.6,8.5,,,,,,,,,,,,1.1,1.34,1.24,,,,,,,,,,,,,1.087,1.107,1.102,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232344412,Cap,,,,,,,,,,,,,,,,,,,12,16,14.05,12,4,2.34,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.73,1.144,1.164,1.148,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223234433,Cap,,,,,,,,,,,,,,,,,,,12,16,14.69,12,4,2.37,1,4,0.66,1,3,0.74,1,3,0.97,1.4,1.8,1.55,1,3,66.3,,,,48,58,52.2,46.5,52.5,49.52,1.144,1.164,1.147,13.5,18.5,17.02,10.5,14.5,13.38,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232344056,Cap,,,,,,,,,,,,,,,,,,,12,16,14.7,12,4,2.44,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.49,1.144,1.164,1.151,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022323142456,Cap,300,400,320.246,65,95,70.2107,1100,1500,1264.52,,,,520,620,552.425,,,,10,14,11.93,10,3,1.86,1,3,0.38,1,3,0.44,1,3,0.54,0.66,0.9,0.75,1,3,54.6,,,,41,49,42,,,,,,,10.5,14.5,12.83,7,11,9.35,2950,3650,3122.64
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321105850,Cap,,,,,,,,,,,,,,,,,,,12,16,14.3,12,4,2.35,1,4,0.66,1,3,0.75,1,3,0.99,1.4,1.8,1.63,,,,,,,,,,46.5,52.5,49.73,1.144,1.164,1.15,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321204951,Cap,,,,,,,,,,,,,,,,59,65,63,12.5,15.5,13.84,12.5,,,,,,,,,,,,0.67,0.93,0.83,,,,,,,,,,66.5,72.5,69.3,,,,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232118710,Cap,,,,,,,,,,,,,,,,,,,10,14,11.83,10,3,1.94,1,3,0.39,1,3,0.45,1,3,0.56,0.66,0.9,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223211100Z,Cap,,,,,,,,,,,,,,,,,,,12,16,14.54,12,4,2.37,1,4,0.65,1,3,0.74,1,3,0.98,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.151,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321104754,Cap,,,,,,,,,,,,,,,,64,74,67,12,16,14.58,12,4,2.37,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.59,,,,,,,,,,46.5,52.5,49.25,1.144,1.164,1.152,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223234138,Cap,,,,,,,,,,,,,,,,,,,12,16,14.41,12,4,2.4,1,4,0.66,1,3,0.74,1,3,0.97,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.52,1.144,1.164,1.15,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223211100,Cap,,,,,,,,,,,,,,,,,,,12,16,14.06,12,4,2.31,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.63,,,,,,,,,,46.5,52.5,49.67,1.144,1.164,1.153,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232435529,Cap,,,,,,,,,,,,,,,,,,,12,16,14.86,12,4,2.45,1,4,0.66,1,3,0.74,1,3,0.97,1.4,1.8,1.57,1,3,64.1,,,,48,58,52.5,46.5,52.5,49.13,1.144,1.164,1.147,13.5,18.5,16.83,10.5,14.5,13.3,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232435529,Cap,,,,,,,,,,,,,,,,,,,12,16,14.86,12,4,2.45,1,4,0.66,1,3,0.74,1,3,0.97,1.4,1.8,1.57,1,3,64.1,,,,48,58,52.5,46.5,52.5,49.13,1.144,1.164,1.147,13.5,18.5,16.83,10.5,14.5,13.3,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232435731,Cap,,,,,,,,,,,,,,,,,,,12,16,14.4,12,4,2.35,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.149,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232435731,Cap,,,,,,,,,,,,,,,,,,,12,16,14.4,12,4,2.35,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.149,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232435731,Cap,,,,,,,,,,,,,,,,,,,12,16,14.4,12,4,2.35,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.149,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232435115,Cap,,,,,,,,,,,,,,,,,,,12,16,14.83,12,4,2.43,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.62,1,3,67.7,,,,48,58,53,46.5,52.5,49.79,1.144,1.164,1.152,13.5,18.5,16.81,10.5,14.5,13.22,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232435115,Cap,,,,,,,,,,,,,,,,,,,12,16,14.83,12,4,2.43,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.62,1,3,67.7,,,,48,58,53,46.5,52.5,49.79,1.144,1.164,1.152,13.5,18.5,16.81,10.5,14.5,13.22,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232435115,Cap,,,,,,,,,,,,,,,,,,,12,16,14.83,12,4,2.43,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.62,1,3,67.7,,,,48,58,53,46.5,52.5,49.79,1.144,1.164,1.152,13.5,18.5,16.81,10.5,14.5,13.22,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232434940,Cap,,,,,,,,,,,,,,,,,,,12,16,14.59,12,4,2.39,1,4,0.65,1,3,0.74,1,3,0.96,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.55,1.144,1.164,1.149,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232434940,Cap,,,,,,,,,,,,,,,,,,,12,16,14.59,12,4,2.39,1,4,0.65,1,3,0.74,1,3,0.96,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.55,1.144,1.164,1.149,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321203354,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.11,12.5,,,,,,,,,,,,0.67,0.93,0.83,,,,,,,,,,66.5,72.5,69.83,,,,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022321203354,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.11,12.5,,,,,,,,,,,,0.67,0.93,0.83,,,,,,,,,,66.5,72.5,69.83,,,,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022321203354,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.11,12.5,,,,,,,,,,,,0.67,0.93,0.83,,,,,,,,,,66.5,72.5,69.83,,,,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022323144942,Cap,,,,,,,,,,,,,,,,,,,10,14,11.07,10,3,1.72,1,3,0.37,1,3,0.43,1,3,0.53,0.66,0.9,0.71,1,3,58,,,,41,49,43.1,,,,,,,10.5,14.5,12.78,7,11,9.27,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022323144942,Cap,,,,,,,,,,,,,,,,,,,10,14,11.07,10,3,1.72,1,3,0.37,1,3,0.43,1,3,0.53,0.66,0.9,0.71,1,3,58,,,,41,49,43.1,,,,,,,10.5,14.5,12.78,7,11,9.27,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022323144942,Cap,,,,,,,,,,,,,,,,,,,10,14,11.07,10,3,1.72,1,3,0.37,1,3,0.43,1,3,0.53,0.66,0.9,0.71,1,3,58,,,,41,49,43.1,,,,,,,10.5,14.5,12.78,7,11,9.27,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022323151159,Cap,,,,,,,,,,,,,,,,,,,10,14,11.87,10,3,1.54,1,3,0.35,1,3,0.43,1,3,0.56,0.66,0.9,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022323151159,Cap,,,,,,,,,,,,,,,,,,,10,14,11.87,10,3,1.54,1,3,0.35,1,3,0.43,1,3,0.56,0.66,0.9,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022323151159,Cap,,,,,,,,,,,,,,,,,,,10,14,11.87,10,3,1.54,1,3,0.35,1,3,0.43,1,3,0.56,0.66,0.9,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232341741,Cap,,,,,,,,,,,,,,,,,,,12,16,14.19,12,4,2.37,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.6,1,3,69.3,,,,48,58,53.5,46.5,52.5,49.55,1.144,1.164,1.148,13.5,18.5,17.31,10.5,14.5,13.6,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232341741,Cap,,,,,,,,,,,,,,,,,,,12,16,14.19,12,4,2.37,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.6,1,3,69.3,,,,48,58,53.5,46.5,52.5,49.55,1.144,1.164,1.148,13.5,18.5,17.31,10.5,14.5,13.6,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232341741,Cap,,,,,,,,,,,,,,,,,,,12,16,14.19,12,4,2.37,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.6,1,3,69.3,,,,48,58,53.5,46.5,52.5,49.55,1.144,1.164,1.148,13.5,18.5,17.31,10.5,14.5,13.6,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232342952,Cap,,,,,,,,,,,,,,,,,,,12,16,13.99,12,4,2.32,1,4,0.66,1,3,0.75,1,3,0.97,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.48,1.144,1.164,1.149,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232342952,Cap,,,,,,,,,,,,,,,,,,,12,16,13.99,12,4,2.32,1,4,0.66,1,3,0.75,1,3,0.97,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.48,1.144,1.164,1.149,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232342952,Cap,,,,,,,,,,,,,,,,,,,12,16,13.99,12,4,2.32,1,4,0.66,1,3,0.75,1,3,0.97,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.48,1.144,1.164,1.149,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232365543,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.16,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.096,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232365543,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.16,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.096,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232365543,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.16,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.096,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321203555,Cap,,,,,,,,,,,,,,,,59,65,62,12.5,15.5,13.57,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,69.8,,,,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022321203555,Cap,,,,,,,,,,,,,,,,59,65,62,12.5,15.5,13.57,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,69.8,,,,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232365649,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,9.73,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.101,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232365649,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,9.73,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.101,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232365649,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,9.73,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.101,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232341955,Cap,,,,,,,,,,,,,,,,,,,12,16,14.54,12,4,2.44,1,4,0.66,1,3,0.74,1,3,0.98,1.4,1.8,1.62,,,,,,,,,,46.5,52.5,49.49,1.144,1.164,1.148,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232341955,Cap,,,,,,,,,,,,,,,,,,,12,16,14.54,12,4,2.44,1,4,0.66,1,3,0.74,1,3,0.98,1.4,1.8,1.62,,,,,,,,,,46.5,52.5,49.49,1.144,1.164,1.148,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223234312,Cap,,,,,,,,,,,,,,,,,,,12,16,13.97,12,4,2.33,1,4,0.64,1,3,0.73,1,3,0.95,1.4,1.8,1.59,,,,,,,,,,46.5,52.5,49.82,1.144,1.164,1.148,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L4220223234312,Cap,,,,,,,,,,,,,,,,,,,12,16,13.97,12,4,2.33,1,4,0.64,1,3,0.73,1,3,0.95,1.4,1.8,1.59,,,,,,,,,,46.5,52.5,49.82,1.144,1.164,1.148,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L4220223234312,Cap,,,,,,,,,,,,,,,,,,,12,16,13.97,12,4,2.33,1,4,0.64,1,3,0.73,1,3,0.95,1.4,1.8,1.59,,,,,,,,,,46.5,52.5,49.82,1.144,1.164,1.148,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232435937,Cap,,,,,,,,,,,,,,,,,,,12,16,14.31,12,4,2.38,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.55,1.144,1.164,1.147,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232435937,Cap,,,,,,,,,,,,,,,,,,,12,16,14.31,12,4,2.38,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.55,1.144,1.164,1.147,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232343255,Cap,,,,,,,,,,,,,,,,,,,12,16,14.27,12,4,2.37,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.58,1.144,1.164,1.15,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232343255,Cap,,,,,,,,,,,,,,,,,,,12,16,14.27,12,4,2.37,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.58,1.144,1.164,1.15,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022323233118,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.56,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,69.03,,,,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022323233118,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.56,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,69.03,,,,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232335834,Cap,,,,,,,,,,,,,,,,,,,12,16,14.58,12,4,2.42,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.62,1,3,67.5,,,,48,58,52.4,46.5,52.5,49.52,1.144,1.164,1.15,13.5,18.5,17.06,10.5,14.5,13.53,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232335834,Cap,,,,,,,,,,,,,,,,,,,12,16,14.58,12,4,2.42,1,4,0.66,1,3,0.75,1,3,0.98,1.4,1.8,1.62,1,3,67.5,,,,48,58,52.4,46.5,52.5,49.52,1.144,1.164,1.15,13.5,18.5,17.06,10.5,14.5,13.53,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L4220223234228,Cap,,,,,,,,,,,,,,,,,,,12,16,13.68,12,4,2.31,1,4,0.65,1,3,0.75,1,3,0.97,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.64,1.144,1.164,1.149,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L4220223234228,Cap,,,,,,,,,,,,,,,,,,,12,16,13.68,12,4,2.31,1,4,0.65,1,3,0.75,1,3,0.97,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.64,1.144,1.164,1.149,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232335612,Cap,,,,,,,,,,,,,,,,,,,12,16,14.59,12,4,2.34,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.4,1.144,1.164,1.147,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232335612,Cap,,,,,,,,,,,,,,,,,,,12,16,14.59,12,4,2.34,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.4,1.144,1.164,1.147,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L4220223244372,Cap,,,,,,,,,,,,,,,,,,,12,16,14.68,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.94,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.151,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L4220223244372,Cap,,,,,,,,,,,,,,,,,,,12,16,14.68,12,4,2.44,1,4,0.64,1,3,0.72,1,3,0.94,1.4,1.8,1.57,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.151,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232615852,Cap,,,,,,,,,,,,,,,,,,,10,14,12.02,10,3,1.89,1,3,0.38,1,3,0.45,1,3,0.57,0.66,0.9,0.79,,,,,,,,,,,,,1.109,1.129,1.119,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232615852,Cap,,,,,,,,,,,,,,,,,,,10,14,12.02,10,3,1.89,1,3,0.38,1,3,0.45,1,3,0.57,0.66,0.9,0.79,,,,,,,,,,,,,1.109,1.129,1.119,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022325367,Cap,230,310,290.222,70,100,88.4181,625,1025,911.709,,,,675,775,679.248,,,,10.9,14.1,13.36,10.9,3,2.79,1,3,0.53,1,3,0.67,1,3,0.88,1.22,1.58,1.36,1,3,61.9,,,,41,51,48,,,,,,1.126,12.5,16.5,14.55,11,15,12.79,2200,3000,2680.11
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022325367,Cap,230,310,290.222,70,100,88.4181,625,1025,911.709,,,,675,775,679.248,,,,10.9,14.1,13.36,10.9,3,2.79,1,3,0.53,1,3,0.67,1,3,0.88,1.22,1.58,1.36,1,3,61.9,,,,41,51,48,,,,,,1.126,12.5,16.5,14.55,11,15,12.79,2200,3000,2680.11
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232535744,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.97,8.5,,,,,,,,,,,,1.1,1.34,1.26,,,,,,,,,,,,,1.087,1.107,1.097,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232535744,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.97,8.5,,,,,,,,,,,,1.1,1.34,1.26,,,,,,,,,,,,,1.087,1.107,1.097,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232443237,Cap,,,,,,,,,,,,,,,,,,,12,16,14.81,12,4,2.4,1,4,0.64,1,3,0.71,1,3,0.94,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.7,1.144,1.164,1.148,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232443237,Cap,,,,,,,,,,,,,,,,,,,12,16,14.81,12,4,2.4,1,4,0.64,1,3,0.71,1,3,0.94,1.4,1.8,1.54,,,,,,,,,,46.5,52.5,49.7,1.144,1.164,1.148,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L42202232335458,Cap,,,,,,,,,,,,,,,,,,,12,16,13.64,12,4,2.23,1,4,0.64,1,3,0.73,1,3,0.95,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.31,1.144,1.164,1.149,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L42202232335458,Cap,,,,,,,,,,,,,,,,,,,12,16,13.64,12,4,2.23,1,4,0.64,1,3,0.73,1,3,0.95,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.31,1.144,1.164,1.149,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022323232916,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.74,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,68.57,,,,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022323232916,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,14.74,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,68.57,,,,,,,,,,,,
Control 1,29-03-2022,2156016WSTA1TL-MCB,4L42202232755726,Cap,,,,,,,,,,,,,,,,,,,12,16,14.35,12,4,2.36,1,3,0.63,1,3,0.7,1,3,0.9,1.4,1.8,1.48,,,,,,,,,,46.5,52.5,49.31,1.144,1.164,1.148,,,,,,,,,
Test 1,30-03-2022,2156016WSTA1TL-MCB,4L42202232755726,Cap,,,,,,,,,,,,,,,,,,,12,16,14.35,12,4,2.36,1,3,0.63,1,3,0.7,1,3,0.9,1.4,1.8,1.48,,,,,,,,,,46.5,52.5,49.31,1.144,1.164,1.148,,,,,,,,,
Control 1,29-03-2022,2156016WSTA1TL-MCB,4L42202232761436,Cap,,,,,,,,,,,,,,,,,,,12,16,14.34,12,4,2.39,1,3,0.65,1,3,0.73,1,3,0.95,1.4,1.8,1.56,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.148,,,,,,,,,
Test 1,30-03-2022,2156016WSTA1TL-MCB,4L42202232761436,Cap,,,,,,,,,,,,,,,,,,,12,16,14.34,12,4,2.39,1,3,0.65,1,3,0.73,1,3,0.95,1.4,1.8,1.56,,,,,,,,,,46.5,52.5,49.37,1.144,1.164,1.148,,,,,,,,,
Control 1,29-03-2022,2156016WSTA1TL-MCB,4L42202232754921,Cap,,,,,,,,,,,,,,,,,,,12,16,14.87,12,4,2.43,1,3,0.65,1,3,0.72,1,3,0.94,1.4,1.8,1.56,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.148,,,,,,,,,
Test 1,30-03-2022,2156016WSTA1TL-MCB,4L42202232754921,Cap,,,,,,,,,,,,,,,,,,,12,16,14.87,12,4,2.43,1,3,0.65,1,3,0.72,1,3,0.94,1.4,1.8,1.56,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.148,,,,,,,,,
Control 1,29-03-2022,2156016WSTA1TL-MCB,4L422022327172842,Cap,230,310,273.78,70,100,90.4527,625,1025,876.742,,,,675,775,701.754,58,64,62,10.9,14.1,12.84,10.9,3,2.62,1,3,0.51,1,3,0.66,1,3,0.89,1.22,1.58,1.39,1,3,63.5,,,,41,51,49.6,,,,,,1.127,12.5,16.5,13.9,11,15,11.92,2200,3000,2792.55
Test 1,30-03-2022,2156016WSTA1TL-MCB,4L422022327172842,Cap,230,310,273.78,70,100,90.4527,625,1025,876.742,,,,675,775,701.754,58,64,62,10.9,14.1,12.84,10.9,3,2.62,1,3,0.51,1,3,0.66,1,3,0.89,1.22,1.58,1.39,1,3,63.5,,,,41,51,49.6,,,,,,1.127,12.5,16.5,13.9,11,15,11.92,2200,3000,2792.55
